key	en_us	zh_cn	zh_hk	zh_tw	lzh	ja_jp	ko_kr	vi_vn
block.minecraft.polished_blackstone_brick_wall	Polished Blackstone Brick Wall	磨制黑石砖墙	拋光黑石磚牆	拋光黑石磚牆	鎣墨石磚垣	磨かれたブラックストーンレンガの塀	윤나는 흑암 벽돌 담장	Tường gạch đá đen được đánh bóng
block.minecraft.polished_blackstone_bricks	Polished Blackstone Bricks	磨制黑石砖	拋光黑石磚	拋光黑石磚	鎣墨石磚	磨かれたブラックストーンレンガ	윤나는 흑암 벽돌	Gạch đá đen được đánh bóng
block.minecraft.polished_blackstone_button	Polished Blackstone Button	磨制黑石按钮	拋光黑石按鈕	拋光黑石按鈕	鎣墨石鈕	磨かれたブラックストーンのボタン	윤나는 흑암 버튼	Nút đá đen được đánh bóng
block.minecraft.polished_blackstone_pressure_plate	Polished Blackstone Pressure Plate	磨制黑石压力板	拋光黑石壓力板	拋光黑石壓力板	鎣墨石踏板	磨かれたブラックストーンの感圧板	윤나는 흑암 압력판	Đĩa cảm biến áp lực đá đen được đánh bóng
block.minecraft.polished_blackstone_slab	Polished Blackstone Slab	磨制黑石台阶	拋光黑石半磚	拋光黑石半磚	鎣墨石版	磨かれたブラックストーンのハーフブロック	윤나는 흑암 반 블록	Phiến đá đen được đánh bóng
block.minecraft.polished_blackstone_stairs	Polished Blackstone Stairs	磨制黑石楼梯	拋光黑石樓梯	拋光黑石階梯	鎣墨石階	磨かれたブラックストーンの階段	윤나는 흑암 계단	Cầu thang đá đen được đánh bóng
block.minecraft.polished_blackstone_wall	Polished Blackstone Wall	磨制黑石墙	拋光黑石牆	拋光黑石牆	鎣墨石垣	磨かれたブラックストーンの塀	윤나는 흑암 담장	Tường đá đen được đánh bóng
block.minecraft.polished_deepslate	Polished Deepslate	磨制深板岩	拋光深板岩	拋光深板岩	鎣板巖	磨かれた深層岩	윤나는 심층암	Đá bảng sâu được đánh bóng
block.minecraft.polished_deepslate_slab	Polished Deepslate Slab	磨制深板岩台阶	拋光深板岩半磚	拋光深板岩半磚	鎣板巖版	磨かれた深層岩のハーフブロック	윤나는 심층암 반 블록	Phiến đá bảng sâu được đánh bóng
block.minecraft.polished_deepslate_stairs	Polished Deepslate Stairs	磨制深板岩楼梯	拋光深板岩樓梯	拋光深板岩階梯	鎣板巖階	磨かれた深層岩の階段	윤나는 심층암 계단	Cầu thang đá bảng sâu được đánh bóng
block.minecraft.polished_deepslate_wall	Polished Deepslate Wall	磨制深板岩墙	拋光深板岩牆	拋光深板岩牆	鎣板巖垣	磨かれた深層岩の塀	윤나는 심층암 담장	Tường đá bảng sâu được đánh bóng
block.minecraft.polished_diorite	Polished Diorite	磨制闪长岩	拋光閃長岩	拋光閃長岩	鎣閃綠石	磨かれた閃緑岩	윤나는 섬록암	Đá diorit được đánh bóng
block.minecraft.polished_diorite_slab	Polished Diorite Slab	磨制闪长岩台阶	拋光閃長岩半磚	拋光閃長岩半磚	鎣閃綠石版	磨かれた閃緑岩のハーフブロック	윤나는 섬록암 반 블록	Phiến đá diorit được đánh bóng
block.minecraft.polished_diorite_stairs	Polished Diorite Stairs	磨制闪长岩楼梯	拋光閃長岩樓梯	拋光閃長岩階梯	鎣閃綠石階	磨かれた閃緑岩の階段	윤나는 섬록암 계단	Cầu thang đá diorit được đánh bóng
block.minecraft.polished_granite	Polished Granite	磨制花岗岩	拋光花崗岩	拋光花崗岩	鎣花崗巖	磨かれた花崗岩	윤나는 화강암	Đá hoa cương được đánh bóng
block.minecraft.polished_granite_slab	Polished Granite Slab	磨制花岗岩台阶	拋光花崗岩半磚	拋光花崗岩半磚	鎣花崗巖版	磨かれた花崗岩のハーフブロック	윤나는 화강암 반 블록	Phiến đá hoa cương được đánh bóng
block.minecraft.polished_granite_stairs	Polished Granite Stairs	磨制花岗岩楼梯	拋光花崗岩樓梯	拋光花崗岩階梯	鎣花崗巖階	磨かれた花崗岩の階段	윤나는 화강암 계단	Cầu thang đá hoa cương được đánh bóng
block.minecraft.polished_tuff	Polished Tuff	磨制凝灰岩	拋光凝灰岩	拋光凝灰岩	鎣積塊石	磨かれた凝灰岩	윤나는 응회암	Đá túp được đánh bóng
block.minecraft.polished_tuff_slab	Polished Tuff Slab	磨制凝灰岩台阶	拋光凝灰岩半磚	拋光凝灰岩半磚	鎣積塊石版	磨かれた凝灰岩のハーフブロック	윤나는 응회암 반 블록	Phiến đá túp được đánh bóng
block.minecraft.polished_tuff_stairs	Polished Tuff Stairs	磨制凝灰岩楼梯	拋光凝灰岩樓梯	拋光凝灰岩階梯	鎣積塊石階	磨かれた凝灰岩の階段	윤나는 응회암 계단	Cầu thang đá túp được đánh bóng
block.minecraft.polished_tuff_wall	Polished Tuff Wall	磨制凝灰岩墙	拋光凝灰岩牆	拋光凝灰岩牆	鎣積塊垣	磨かれた凝灰岩の塀	윤나는 응회암 담장	Tường đá túp được đánh bóng
block.minecraft.poppy	Poppy	虞美人	罌粟	罌粟	虞美人	ポピー	양귀비	Anh túc
block.minecraft.potatoes	Potatoes	马铃薯	薯仔	馬鈴薯	薯	ジャガイモ	감자	Khoai tây
block.minecraft.potted_acacia_sapling	Potted Acacia Sapling	金合欢树苗盆栽	相思木樹苗盆栽	相思木樹苗盆栽	㭜秧盆景	アカシアの苗木入り植木鉢	화분에 심은 아카시아나무 묘목	Chậu chồi cây xiêm gai
block.minecraft.potted_allium	Potted Allium	绒球葱盆栽	絨球葱盆栽	紫紅球花盆栽	碩蔥盆景	アリウム入り植木鉢	화분에 심은 알리움	Chậu hành tím
block.minecraft.potted_azalea_bush	Potted Azalea	杜鹃花丛盆栽	杜鵑叢盆栽	杜鵑叢盆栽	杜鵑盆景	ツツジ入り植木鉢	화분에 심은 진달래	Chậu đỗ quyên
block.minecraft.potted_azure_bluet	Potted Azure Bluet	蓝花美耳草盆栽	雛草盆栽	雛草盆栽	美耳草盆景	ヒナソウ入り植木鉢	화분에 심은 선애기별꽃	Chậu thiến thảo xanh
block.minecraft.potted_bamboo	Potted Bamboo	竹子盆栽	竹盆栽	竹子盆栽	竹盆景	竹入り植木鉢	화분에 심은 대나무	Chậu cây tre
block.minecraft.potted_birch_sapling	Potted Birch Sapling	白桦树苗盆栽	樺木樹苗盆栽	樺木樹苗盆栽	樺秧盆景	シラカバの苗木入り植木鉢	화분에 심은 자작나무 묘목	Chậu chồi cây bạch dương
block.minecraft.potted_blue_orchid	Potted Blue Orchid	兰花盆栽	蘭花盆栽	藍色蝴蝶蘭盆栽	蘭盆景	ヒスイラン入り植木鉢	화분에 심은 파란색 난초	Chậu phong lan xanh
block.minecraft.potted_brown_mushroom	Potted Brown Mushroom	棕色蘑菇盆栽	啡色蘑菇盆栽	棕色蘑菇盆栽	褐蕈盆景	茶色のキノコ入り植木鉢	화분에 심은 갈색 버섯	Chậu nấm nâu
block.minecraft.potted_cactus	Potted Cactus	仙人掌盆栽	仙人掌盆栽	仙人掌盆栽	仙人掌盆景	サボテン入り植木鉢	화분에 심은 선인장	Chậu xương rồng
block.minecraft.potted_cherry_sapling	Potted Cherry Sapling	樱花树苗盆栽	櫻花樹苗盆栽	櫻花木樹苗盆栽	櫻秧盆景	サクラの苗木入り植木鉢	화분에 심은 벚나무 묘목	Chậu chồi cây anh đào
block.minecraft.potted_closed_eyeblossom	Potted Closed Eyeblossom	闭合的眼眸花盆栽	閉合的眼眸花盆栽	閉合的擬目花盆栽	瞑瞳榮盆景	閉じたヒトミソウ入り植木鉢	화분에 심은 감은 눈망울꽃	Chậu hoa mắt nhắm
block.minecraft.potted_cornflower	Potted Cornflower	矢车菊盆栽	矢車菊盆栽	矢車菊盆栽	矢車菊盆景	ヤグルマギク入り植木鉢	화분에 심은 수레국화	Chậu thanh cúc
block.minecraft.potted_crimson_fungus	Potted Crimson Fungus	绯红菌盆栽	猩紅菌菇盆栽	緋紅蕈菇盆栽	緋蕈盆景	真紅のキノコ入り植木鉢	화분에 심은 진홍빛 균	Chậu nấm đỏ thẫm
block.minecraft.potted_crimson_roots	Potted Crimson Roots	绯红菌索盆栽	猩紅菌根盆栽	緋紅蕈根盆栽	緋蕈索盆景	真紅の根入り植木鉢	화분에 심은 진홍빛 뿌리	Chậu rễ đỏ thẫm
block.minecraft.potted_dandelion	Potted Dandelion	蒲公英盆栽	蒲公英盆栽	蒲公英盆栽	蒲公英盆景	タンポポ入り植木鉢	화분에 심은 민들레	Chậu bồ công anh
block.minecraft.potted_dark_oak_sapling	Potted Dark Oak Sapling	深色橡树树苗盆栽	黑橡木樹苗盆栽	黑橡木樹苗盆栽	黯柞秧盆景	ダークオークの苗木入り植木鉢	화분에 심은 짙은 참나무 묘목	Chậu chồi cây sồi sẫm
block.minecraft.potted_dead_bush	Potted Dead Bush	枯萎的灌木盆栽	死灌木盆栽	枯灌木盆栽	枯木盆景	枯れ木入り植木鉢	화분에 심은 마른 덤불	Chậu cây khô
block.minecraft.potted_fern	Potted Fern	蕨盆栽	蕨盆栽	蕨類盆栽	蕨盆景	シダ入り植木鉢	화분에 심은 고사리	Chậu dương xỉ
block.minecraft.potted_flowering_azalea_bush	Potted Flowering Azalea	盛开的杜鹃花丛盆栽	開花的杜鵑叢盆栽	開花的杜鵑叢盆栽	芳杜鵑盆景	開花したツツジ入り植木鉢	화분에 심은 꽃 핀 진달래	Chậu đỗ quyên có hoa
block.minecraft.potted_jungle_sapling	Potted Jungle Sapling	丛林树苗盆栽	叢林木樹苗盆栽	叢林木樹苗盆栽	叢莽秧盆景	ジャングルの苗木入り植木鉢	화분에 심은 정글나무 묘목	Chậu chồi cây rừng
block.minecraft.potted_lily_of_the_valley	Potted Lily of the Valley	铃兰盆栽	鈴蘭盆栽	鈴蘭盆栽	鈴蘭盆景	スズラン入り植木鉢	화분에 심은 은방울꽃	Chậu linh lan
block.minecraft.potted_mangrove_propagule	Potted Mangrove Propagule	红树胎生苗盆栽	紅樹胎生苗盆栽	紅樹林木胎生苗盆栽	沒潮木胚盆景	マングローブの芽入り植木鉢	화분에 심은 맹그로브나무 주아	Chậu chồi mầm cây ngập mặn
block.minecraft.potted_oak_sapling	Potted Oak Sapling	橡树树苗盆栽	橡木樹苗盆栽	橡木樹苗盆栽	柞秧盆景	オークの苗木入り植木鉢	화분에 심은 참나무 묘목	Chậu chồi cây sồi
block.minecraft.potted_open_eyeblossom	Potted Open Eyeblossom	张开的眼眸花盆栽	張開的眼眸花盆栽	張開的擬目花盆栽	盱瞳榮盆景	開いたヒトミソウ入り植木鉢	화분에 심은 뜬 눈망울꽃	Chậu hoa mắt mở
block.minecraft.potted_orange_tulip	Potted Orange Tulip	橙色郁金香盆栽	橙色鬱金香盆栽	橙色鬱金香盆栽	橙鬱金香盆景	橙色のチューリップ入り植木鉢	화분에 심은 주황색 튤립	Chậu uất kim hương cam
block.minecraft.potted_oxeye_daisy	Potted Oxeye Daisy	滨菊盆栽	雛菊盆栽	雛菊盆栽	雛菊盆景	フランスギク入り植木鉢	화분에 심은 데이지	Chậu cúc trắng
block.minecraft.potted_pale_oak_sapling	Potted Pale Oak Sapling	苍白橡树树苗盆栽	蒼白橡木樹苗盆栽	蒼白橡木樹苗盆栽	縞柞秧盆景	ペールオークの苗木入り植木鉢	화분에 심은 창백한 참나무 묘목	Chậu chồi cây sồi nhạt
block.minecraft.potted_pink_tulip	Potted Pink Tulip	粉红色郁金香盆栽	粉紅色鬱金香盆栽	粉紅色鬱金香盆栽	粉鬱金香盆景	桃色のチューリップ入り植木鉢	화분에 심은 분홍색 튤립	Chậu uất kim hương hồng
block.minecraft.potted_poppy	Potted Poppy	虞美人盆栽	罌粟盆栽	罌粟盆栽	虞美人盆景	ポピー入り植木鉢	화분에 심은 양귀비	Chậu anh túc
block.minecraft.potted_red_mushroom	Potted Red Mushroom	红色蘑菇盆栽	紅色蘑菇盆栽	紅色蘑菇盆栽	紅蕈盆景	赤色のキノコ入り植木鉢	화분에 심은 빨간색 버섯	Chậu nấm đỏ
block.minecraft.potted_red_tulip	Potted Red Tulip	红色郁金香盆栽	紅色鬱金香盆栽	紅色鬱金香盆栽	紅鬱金香盆景	赤色のチューリップ入り植木鉢	화분에 심은 빨간색 튤립	Chậu uất kim hương đỏ
block.minecraft.potted_spruce_sapling	Potted Spruce Sapling	云杉树苗盆栽	杉木樹苗盆栽	杉木樹苗盆栽	樅秧盆景	トウヒの苗木入り植木鉢	화분에 심은 가문비나무 묘목	Chậu chồi cây vân sam
block.minecraft.potted_torchflower	Potted Torchflower	火把花盆栽	火炬花盆栽	火把花盆栽	炬蓮盆景	トーチフラワー入り植木鉢	화분에 심은 횃불꽃	Chậu hoa đuốc
block.minecraft.potted_warped_fungus	Potted Warped Fungus	诡异菌盆栽	迷離菌菇盆栽	扭曲蕈菇盆栽	譎蕈盆景	歪んだキノコ入り植木鉢	화분에 심은 뒤틀린 균	Chậu nấm kì dị
block.minecraft.potted_warped_roots	Potted Warped Roots	诡异菌索盆栽	迷離菌根盆栽	扭曲蕈根盆栽	譎蕈索盆景	歪んだ根入り植木鉢	화분에 심은 뒤틀린 뿌리	Chậu rễ kì dị
block.minecraft.potted_white_tulip	Potted White Tulip	白色郁金香盆栽	白色鬱金香盆栽	白色鬱金香盆栽	白鬱金香盆景	白色のチューリップ入り植木鉢	화분에 심은 하얀색 튤립	Chậu uất kim hương trắng
block.minecraft.potted_wither_rose	Potted Wither Rose	凋灵玫瑰盆栽	凋零玫瑰盆栽	凋零玫瑰盆栽	凋靈玫瑰盆景	ウィザーローズ入り植木鉢	화분에 심은 위더 장미	Chậu hoa hồng Wither
block.minecraft.powder_snow	Powder Snow	细雪	幼雪	粉雪	齏雪	粉雪	가루눈	Bột tuyết
block.minecraft.powder_snow_cauldron	Powder Snow Cauldron	装有细雪的炼药锅	裝幼雪的鍋	裝粉雪的鍋釜	齏雪居之釜	粉雪入りの大釜	가루눈 가마솥	Vạc bột tuyết
block.minecraft.powered_rail	Powered Rail	动力铁轨	動力路軌	動力鐵軌	速軌	パワードレール	동력 레일	Đường ray tăng tốc
block.minecraft.prismarine	Prismarine	海晶石	海磷石	海磷石	海磷	プリズマリン	프리즈머린	Prismarin
block.minecraft.prismarine_brick_slab	Prismarine Brick Slab	海晶石砖台阶	海磷石磚半磚	海磷石磚半磚	海磷磚版	プリズマリンレンガのハーフブロック	프리즈머린 벽돌 반 블록	Phiến gạch Prismarin
block.minecraft.prismarine_brick_stairs	Prismarine Brick Stairs	海晶石砖楼梯	海磷石磚樓梯	海磷石磚階梯	海磷磚階	プリズマリンレンガの階段	프리즈머린 벽돌 계단	Cầu thang gạch Prismarin
block.minecraft.prismarine_bricks	Prismarine Bricks	海晶石砖	海磷石磚	海磷石磚	海磷磚	プリズマリンレンガ	프리즈머린 벽돌	Gạch Prismarin
block.minecraft.prismarine_slab	Prismarine Slab	海晶石台阶	海磷石半磚	海磷石半磚	海磷版	プリズマリンのハーフブロック	프리즈머린 반 블록	Phiến Prismarin
block.minecraft.prismarine_stairs	Prismarine Stairs	海晶石楼梯	海磷石樓梯	海磷石階梯	海磷階	プリズマリンの階段	프리즈머린 계단	Cầu thang Prismarin
block.minecraft.prismarine_wall	Prismarine Wall	海晶石墙	海磷石牆	海磷石牆	海磷垣	プリズマリンの塀	프리즈머린 담장	Tường Prismarin
block.minecraft.pumpkin	Pumpkin	南瓜	南瓜	南瓜	南瓜	カボチャ	호박	Bí ngô
block.minecraft.pumpkin_stem	Pumpkin Stem	南瓜茎	南瓜椗	南瓜梗	南瓜莖	カボチャの茎	호박 줄기	Cuống bí ngô
block.minecraft.purple_banner	Purple Banner	紫色旗帜	紫色橫額	紫色旗幟	紫旗	紫色の旗	보라색 현수막	Cờ hiệu tím
block.minecraft.purple_bed	Purple Bed	紫色床	紫色牀	紫色床	紫床	紫色のベッド	보라색 침대	Giường tím
block.minecraft.purple_candle	Purple Candle	紫色蜡烛	紫色蠟燭	紫色蠟燭	紫燭	紫色のろうそく	보라색 초	Nến tím
block.minecraft.purple_candle_cake	Cake with Purple Candle	插上紫色蜡烛的蛋糕	插上紫色蠟燭的蛋糕	插上紫色蠟燭的蛋糕	紫燭之洋糕	紫色のろうそくが立てられたケーキ	보라색 초를 꽂은 케이크	Bánh ngọt có nến tím
block.minecraft.purple_carpet	Purple Carpet	紫色地毯	紫色地氈	紫色地毯	紫氍毹	紫色のカーペット	보라색 양탄자	Thảm tím
block.minecraft.purple_concrete	Purple Concrete	紫色混凝土	紫色混凝土	紫色混凝土	紫砼	紫色のコンクリート	보라색 콘크리트	Bê tông tím
block.minecraft.purple_concrete_powder	Purple Concrete Powder	紫色混凝土粉末	紫色混凝土粉末	紫色混凝土粉末	紫砼粉	紫色のコンクリートパウダー	보라색 콘크리트 가루	Bột bê tông tím
block.minecraft.purple_glazed_terracotta	Purple Glazed Terracotta	紫色带釉陶瓦	紫色釉陶	紫色釉陶	紫釉陶	紫色の彩釉テラコッタ	보라색 유광 테라코타	Đất nung tráng men tím
block.minecraft.purple_shulker_box	Purple Shulker Box	紫色潜影盒	紫色界伏盒	紫色界伏盒	紫贆櫝	紫色のシュルカーボックス	보라색 셜커 상자	Hộp Shulker tím
block.minecraft.purple_stained_glass	Purple Stained Glass	紫色染色玻璃	紫色染色玻璃	紫色玻璃	紫琉璃	紫色の色付きガラス	보라색 색유리	Thủy tinh được nhuộm tím
block.minecraft.purple_stained_glass_pane	Purple Stained Glass Pane	紫色染色玻璃板	紫色染色玻璃片	紫色玻璃片	紫琉璃嵌板	紫色の色付きガラス板	보라색 색유리 판	Tấm thủy tinh được nhuộm tím
block.minecraft.purple_terracotta	Purple Terracotta	紫色陶瓦	紫色陶瓦	紫色陶土	紫陶	紫色のテラコッタ	보라색 테라코타	Đất nung tím
block.minecraft.purple_wool	Purple Wool	紫色羊毛	紫色羊毛	紫色羊毛	紫羊毛	紫色の羊毛	보라색 양털	Len tím
block.minecraft.purpur_block	Purpur Block	紫珀块	紫珀磚	紫珀方塊	紫珀塊	プルプァブロック	퍼퍼 블록	Khối purpur
block.minecraft.purpur_pillar	Purpur Pillar	紫珀柱	紫珀柱	紫珀柱	紫珀柱	プルプァの柱	퍼퍼 기둥	Cột trụ purpur
block.minecraft.purpur_slab	Purpur Slab	紫珀台阶	紫珀半磚	紫珀半磚	紫珀版	プルプァのハーフブロック	퍼퍼 반 블록	Phiến purpur
block.minecraft.purpur_stairs	Purpur Stairs	紫珀楼梯	紫珀樓梯	紫珀階梯	紫珀階	プルプァの階段	퍼퍼 계단	Cầu thang purpur
block.minecraft.quartz_block	Block of Quartz	石英块	石英磚	石英方塊	石英塊	クォーツブロック	석영 블록	Khối thạch anh
block.minecraft.quartz_bricks	Quartz Bricks	石英砖	磚紋石英磚	石英磚	石英磚	クォーツレンガ	석영 벽돌	Gạch thạch anh
block.minecraft.quartz_pillar	Quartz Pillar	石英柱	石英柱	石英柱	石英柱	クォーツの柱	석영 기둥	Cột trụ thạch anh
block.minecraft.quartz_slab	Quartz Slab	石英台阶	石英半磚	石英半磚	石英版	クォーツのハーフブロック	석영 반 블록	Phiến thạch anh
block.minecraft.quartz_stairs	Quartz Stairs	石英楼梯	石英樓梯	石英階梯	石英階	クォーツの階段	석영 계단	Cầu thang thạch anh
block.minecraft.rail	Rail	铁轨	路軌	鐵軌	軌	レール	레일	Đường ray
block.minecraft.raw_copper_block	Block of Raw Copper	粗铜块	粗銅磚	銅原礦方塊	銅石塊	銅の原石ブロック	구리 원석 블록	Khối đồng thô
block.minecraft.raw_gold_block	Block of Raw Gold	粗金块	粗金磚	金原礦方塊	金石塊	金の原石ブロック	금 원석 블록	Khối vàng thô
block.minecraft.raw_iron_block	Block of Raw Iron	粗铁块	粗鐵磚	鐵原礦方塊	鐵石塊	鉄の原石ブロック	철 원석 블록	Khối sắt thô
block.minecraft.red_banner	Red Banner	红色旗帜	紅色橫額	紅色旗幟	紅旗	赤色の旗	빨간색 현수막	Cờ hiệu đỏ
block.minecraft.red_bed	Red Bed	红色床	紅色牀	紅色床	紅床	赤色のベッド	빨간색 침대	Giường đỏ
block.minecraft.red_candle	Red Candle	红色蜡烛	紅色蠟燭	紅色蠟燭	紅燭	赤色のろうそく	빨간색 초	Nến đỏ
block.minecraft.red_candle_cake	Cake with Red Candle	插上红色蜡烛的蛋糕	插上紅色蠟燭的蛋糕	插上紅色蠟燭的蛋糕	紅燭之洋糕	赤色のろうそくが立てられたケーキ	빨간색 초를 꽂은 케이크	Bánh ngọt có nến đỏ
block.minecraft.red_carpet	Red Carpet	红色地毯	紅色地氈	紅色地毯	紅氍毹	赤色のカーペット	빨간색 양탄자	Thảm đỏ
block.minecraft.red_concrete	Red Concrete	红色混凝土	紅色混凝土	紅色混凝土	紅砼	赤色のコンクリート	빨간색 콘크리트	Bê tông đỏ
block.minecraft.red_concrete_powder	Red Concrete Powder	红色混凝土粉末	紅色混凝土粉末	紅色混凝土粉末	紅砼粉	赤色のコンクリートパウダー	빨간색 콘크리트 가루	Bột bê tông đỏ
block.minecraft.red_glazed_terracotta	Red Glazed Terracotta	红色带釉陶瓦	紅色釉陶	紅色釉陶	紅釉陶	赤色の彩釉テラコッタ	빨간색 유광 테라코타	Đất nung tráng men đỏ
block.minecraft.red_mushroom	Red Mushroom	红色蘑菇	紅色蘑菇	紅色蘑菇	紅蕈	赤色のキノコ	빨간색 버섯	Nấm đỏ
block.minecraft.red_mushroom_block	Red Mushroom Block	红色蘑菇方块	紅色蘑菇方塊	紅色蘑菇方塊	紅蕈塊	赤色のキノコブロック	빨간색 버섯 블록	Khối nấm đỏ
block.minecraft.red_nether_brick_slab	Red Nether Brick Slab	红色下界砖台阶	紅色地獄磚半磚	紅地獄磚半磚	焱界紅磚版	赤いネザーレンガのハーフブロック	붉은 네더 벽돌 반 블록	Phiến gạch Nether đỏ
block.minecraft.red_nether_brick_stairs	Red Nether Brick Stairs	红色下界砖楼梯	紅色地獄磚樓梯	紅地獄磚階梯	焱界紅磚階	赤いネザーレンガの階段	붉은 네더 벽돌 계단	Cầu thang gạch Nether đỏ
block.minecraft.red_nether_brick_wall	Red Nether Brick Wall	红色下界砖墙	紅色地獄磚牆	紅地獄磚牆	焱界紅磚垣	赤いネザーレンガの塀	붉은 네더 벽돌 담장	Tường gạch Nether đỏ
block.minecraft.red_nether_bricks	Red Nether Bricks	红色下界砖块	紅色地獄磚	紅地獄磚	焱界紅磚塊	赤いネザーレンガ	붉은 네더 벽돌	Gạch Nether đỏ
block.minecraft.red_sand	Red Sand	红沙	紅沙	紅沙	紅沙	赤い砂	붉은 모래	Cát đỏ
block.minecraft.red_sandstone	Red Sandstone	红砂岩	紅砂岩	紅砂岩	紅砂	赤い砂岩	붉은 사암	Cát kết đỏ
block.minecraft.red_sandstone_slab	Red Sandstone Slab	红砂岩台阶	紅砂岩半磚	紅砂岩半磚	紅砂版	赤い砂岩のハーフブロック	붉은 사암 반 블록	Phiến cát kết đỏ
block.minecraft.red_sandstone_stairs	Red Sandstone Stairs	红砂岩楼梯	紅砂岩樓梯	紅砂岩階梯	紅砂階	赤い砂岩の階段	붉은 사암 계단	Cầu thang cát kết đỏ
block.minecraft.red_sandstone_wall	Red Sandstone Wall	红砂岩墙	紅砂岩牆	紅砂岩牆	紅砂垣	赤い砂岩の塀	붉은 사암 담장	Tường cát kết đỏ
block.minecraft.red_shulker_box	Red Shulker Box	红色潜影盒	紅色界伏盒	紅色界伏盒	紅贆櫝	赤色のシュルカーボックス	빨간색 셜커 상자	Hộp Shulker đỏ
block.minecraft.red_stained_glass	Red Stained Glass	红色染色玻璃	紅色染色玻璃	紅色玻璃	紅琉璃	赤色の色付きガラス	빨간색 색유리	Thủy tinh được nhuộm đỏ
block.minecraft.red_stained_glass_pane	Red Stained Glass Pane	红色染色玻璃板	紅色染色玻璃片	紅色玻璃片	紅琉璃嵌板	赤色の色付きガラス板	빨간색 색유리 판	Tấm thủy tinh được nhuộm đỏ
block.minecraft.red_terracotta	Red Terracotta	红色陶瓦	紅色陶瓦	紅色陶土	紅陶	赤色のテラコッタ	빨간색 테라코타	Đất nung đỏ
block.minecraft.red_tulip	Red Tulip	红色郁金香	紅色鬱金香	紅色鬱金香	紅鬱金香	赤色のチューリップ	빨간색 튤립	Uất kim hương đỏ
block.minecraft.red_wool	Red Wool	红色羊毛	紅色羊毛	紅色羊毛	紅羊毛	赤色の羊毛	빨간색 양털	Len đỏ
block.minecraft.redstone_block	Block of Redstone	红石块	紅石磚	紅石方塊	紅石塊	レッドストーンブロック	레드스톤 블록	Khối Redstone
block.minecraft.redstone_lamp	Redstone Lamp	红石灯	紅石燈	紅石燈	紅石燈	レッドストーンランプ	레드스톤 조명	Đèn Redstone
block.minecraft.redstone_ore	Redstone Ore	红石矿石	紅石礦	紅石礦	紅石礦	レッドストーン鉱石	레드스톤 광석	Quặng Redstone
block.minecraft.redstone_torch	Redstone Torch	红石火把	紅石火炬	紅石火把	紅石炬	レッドストーントーチ	레드스톤 횃불	Đuốc Redstone
block.minecraft.redstone_wall_torch	Redstone Wall Torch	墙上的红石火把	牆上的紅石火炬	牆上的紅石火把	壁中紅石炬	壁に付けられたレッドストーントーチ	레드스톤 벽 횃불	Đuốc Redstone trên tường
block.minecraft.redstone_wire	Redstone Wire	红石线	紅石線	紅石線	紅石綫	レッドストーンワイヤー	레드스톤 선	Dây dẫn Redstone
block.minecraft.reinforced_deepslate	Reinforced Deepslate	强化深板岩	強化深板岩	強化深板岩	固板巖	強化された深層岩	보강된 심층암	Đá bảng sâu được gia cố
block.minecraft.repeater	Redstone Repeater	红石中继器	紅石中繼器	紅石中繼器	續赭儀	レッドストーンリピーター	레드스톤 중계기	Bộ lặp Redstone
block.minecraft.repeating_command_block	Repeating Command Block	循环型命令方块	重複型命令方塊	重複型指令方塊	循環命令塊	リピートコマンドブロック	반복형 명령 블록	Khối lệnh lặp lại
block.minecraft.resin_block	Block of Resin	树脂块	樹脂塊	樹脂方塊	樹香塊	樹脂ブロック	수지 블록	Khối nhựa cây
block.minecraft.resin_brick_slab	Resin Brick Slab	树脂砖台阶	樹脂磚半磚	樹脂磚半磚	樹香磚版	樹脂レンガのハーフブロック	수지 벽돌 반 블록	Phiến gạch nhựa cây
block.minecraft.resin_brick_stairs	Resin Brick Stairs	树脂砖楼梯	樹脂磚樓梯	樹脂磚階梯	樹香磚階	樹脂レンガの階段	수지 벽돌 계단	Cầu thang gạch nhựa cây
block.minecraft.resin_brick_wall	Resin Brick Wall	树脂砖墙	樹脂磚牆	樹脂磚牆	樹香磚垣	樹脂レンガの塀	수지 벽돌 담장	Tường gạch nhựa cây
block.minecraft.resin_bricks	Resin Bricks	树脂砖块	樹脂磚	樹脂磚	樹香磚塊	樹脂レンガ	수지 벽돌	Gạch nhựa cây
block.minecraft.resin_clump	Resin Clump	树脂团	樹脂團	樹脂團	樹香	樹脂の塊	수지 덩어리	Cục nhựa cây
block.minecraft.respawn_anchor	Respawn Anchor	重生锚	重生錨	重生錨	復生錨	リスポーンアンカー	리스폰 정박기	Neo hồi sinh
block.minecraft.rooted_dirt	Rooted Dirt	缠根泥土	纏根泥土	扎根土	盤根土	根付いた土	뿌리내린 흙	Đất đã bén rễ
block.minecraft.rose_bush	Rose Bush	玫瑰丛	玫瑰叢	玫瑰叢	玫瑰簇	バラの低木	장미 덤불	Bụi hoa hồng
block.minecraft.sand	Sand	沙子	沙	沙	沙	砂	모래	Cát
block.minecraft.sandstone	Sandstone	砂岩	砂岩	砂岩	砂	砂岩	사암	Cát kết
block.minecraft.sandstone_slab	Sandstone Slab	砂岩台阶	砂岩半磚	砂岩半磚	砂版	砂岩のハーフブロック	사암 반 블록	Phiến cát kết
